nct_id,snapshot_months,start_year,label,duration_days,phase_num,sponsor_num,is_industry,log_planned_enrollment,n_arms,n_countries,is_multinational,n_primary_outcomes,log_n_eligibility_chars,has_drug,has_device,has_biological,n_sites,n_status_changes,had_suspension,n_amendments,enrollment_velocity,enrollment_still_anticipated,status_is_recruiting,status_is_active_not_rec,status_is_suspended,status_is_not_yet_rec,elapsed_days
NCT00790855,6,2008,1,1216.0,1,4,0,3.332204510175204,1,1,0,1,8.2960476427647,1,0,0,1,0,0,0,0.14835164835164835,0,0,0,0,0,182
NCT00790855,12,2008,1,1216.0,1,4,0,3.332204510175204,1,1,0,1,8.2960476427647,1,0,0,1,0,0,0,0.07417582417582418,0,0,0,0,0,364
NCT01414855,3,2011,0,1941.0,2,0,1,4.61512051684126,1,1,0,2,7.4413203897176174,1,0,0,38,0,0,0,1.098901098901099,0,0,0,0,0,91
NCT01414855,6,2011,0,1941.0,2,0,1,4.61512051684126,1,1,0,2,7.4413203897176174,1,0,0,38,0,0,0,0.5494505494505495,0,0,0,0,0,182
NCT01414855,12,2011,0,1941.0,2,0,1,4.61512051684126,1,1,0,2,7.4413203897176174,1,0,0,38,0,0,0,0.27472527472527475,0,0,0,0,0,364
NCT00698815,3,2008,0,1325.0,2,1,0,4.875197323201151,3,1,0,1,8.69483715865908,1,0,0,129,0,0,0,1.4285714285714286,0,0,0,0,0,91
NCT00698815,6,2008,0,1325.0,2,1,0,4.875197323201151,3,1,0,1,8.69483715865908,1,0,0,129,0,0,0,0.7142857142857143,0,0,0,0,0,182
NCT00698815,12,2008,0,1325.0,2,1,0,4.875197323201151,3,1,0,1,8.69483715865908,1,0,0,129,0,0,0,0.35714285714285715,0,0,0,0,0,364
NCT04264208,3,2020,1,1043.0,2,4,0,1.6094379124341003,2,1,0,3,6.60934924316738,1,1,0,1,0,0,0,0.04395604395604396,0,0,0,0,0,91
NCT04264208,6,2020,1,1043.0,2,4,0,1.6094379124341003,2,1,0,3,6.60934924316738,1,1,0,1,0,0,0,0.02197802197802198,0,0,0,0,0,182
NCT04264208,12,2020,1,1043.0,2,4,0,1.6094379124341003,2,1,0,3,6.60934924316738,1,1,0,1,0,0,0,0.01098901098901099,0,0,0,0,0,364
NCT02513199,3,2014,0,2618.0,2,4,0,3.4965075614664802,1,1,0,1,7.528869256642251,1,0,0,1,0,0,0,0.3516483516483517,0,0,0,0,0,91
NCT02513199,6,2014,0,2618.0,2,4,0,3.4965075614664802,1,1,0,1,7.528869256642251,1,0,0,1,0,0,0,0.17582417582417584,0,0,0,0,0,182
NCT02513199,12,2014,0,2618.0,2,4,0,3.4965075614664802,1,1,0,1,7.528869256642251,1,0,0,1,0,0,0,0.08791208791208792,0,0,0,0,0,364
NCT04327063,3,2020,0,542.0,3,4,0,5.209486152841421,2,1,0,1,7.238496840894365,1,0,0,4,0,0,0,2.0,0,0,0,0,0,91
NCT04327063,6,2020,0,542.0,3,4,0,5.209486152841421,2,1,0,1,7.238496840894365,1,0,0,4,0,0,0,1.0,0,0,0,0,0,182
NCT04327063,12,2020,0,542.0,3,4,0,5.209486152841421,2,1,0,1,7.238496840894365,1,0,0,4,0,0,0,0.5,0,0,0,0,0,364
NCT02394821,3,2013,0,730.0,3,4,0,3.2188758248682006,2,1,0,1,5.811140992976701,1,0,0,1,0,0,0,0.26373626373626374,0,0,0,0,0,91
NCT02394821,6,2013,0,730.0,3,4,0,3.2188758248682006,2,1,0,1,5.811140992976701,1,0,0,1,0,0,0,0.13186813186813187,0,0,0,0,0,182
NCT02394821,12,2013,0,730.0,3,4,0,3.2188758248682006,2,1,0,1,5.811140992976701,1,0,0,1,0,0,0,0.06593406593406594,0,0,0,0,0,364
NCT03701321,3,2019,1,489.0,1,1,0,0.0,3,1,0,2,9.470008697972764,1,0,1,3,0,0,0,0.0,0,0,0,0,0,91
NCT03701321,6,2019,1,489.0,1,1,0,0.0,3,1,0,2,9.470008697972764,1,0,1,3,0,0,0,0.0,0,0,0,0,0,182
NCT03701321,12,2019,1,489.0,1,1,0,0.0,3,1,0,2,9.470008697972764,1,0,1,3,0,0,0,0.0,0,0,0,0,0,364
NCT03399552,3,2017,0,1857.0,1,4,0,2.772588722239781,1,1,0,1,8.773229786032473,1,0,0,7,0,0,0,0.16483516483516483,0,0,0,0,0,91
NCT03399552,6,2017,0,1857.0,1,4,0,2.772588722239781,1,1,0,1,8.773229786032473,1,0,0,7,0,0,0,0.08241758241758242,0,0,0,0,0,182
NCT03399552,12,2017,0,1857.0,1,4,0,2.772588722239781,1,1,0,1,8.773229786032473,1,0,0,7,0,0,0,0.04120879120879121,0,0,0,0,0,364
NCT06775652,3,2018,0,2403.0,3,4,0,5.541263545158426,2,1,0,1,8.442038517815478,1,0,0,1,0,0,0,2.791208791208791,0,0,0,0,0,91
